<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d2b269574476263476913283168e483fec8287572bafc3633a3722280b1d0d13
size 2120580
=======
	chr	start	stop	arm_location
CTD-3216D2.4	chr20	34347671	34347785	q
RP5-967N21.7	chr20	5965180	5965511	p
MCM8-AS1	chr20	5990943	6005821	p
GNAS	chr20	58839718	58911192	q
LINC01432	chr20	22054090	22074654	p
AL121914.1	chr20	56460266	56460357	q
MED28P7	chr20	25669857	25670386	p
SRMS	chr20	63540810	63547504	q
AL035250.1	chr20	59346379	59346480	q
UBE2C	chr20	45812576	45816957	q
TMEM189	chr20	50118254	50153734	q
RP11-151E14.1	chr20	60812004	60814211	q
TMEM239	chr20	2814968	2818066	p
FKBP1A	chr20	1368978	1393172	p
RPL21P2	chr20	4059633	4060113	p
RP4-568F9.3	chr20	18313765	18315111	p
RP5-1022P6.4	chr20	5507875	5510002	p
TUBB1	chr20	59019254	59026654	q
RN7SL156P	chr20	36870099	36870402	q
MIR3617	chr20	45705102	45705180	q
RRBP1	chr20	17613678	17682295	p
CDC25B	chr20	3786772	3806121	p
RBL1	chr20	36996349	37095995	q
RP5-1004I9.2	chr20	22343693	22343930	p
HNRNPA3P2	chr20	36620403	36621423	q
AL354984.3	chr20	57976018	57976093	q
AC092107.1	chr20	30626928	30627002	q
RP5-881L22.5	chr20	44347552	44355185	q
SLC2A4RG	chr20	63739861	63743505	q
PDRG1	chr20	31944342	31952092	q
RP1-191L6.2	chr20	40121041	40126357	q
NPEPL1	chr20	58689131	58719238	q
MIR4532	chr20	57895394	57895444	q
MIR548AG2	chr20	60564562	60564625	q
ARFGEF2	chr20	48921890	49036693	q
FRG1B	chr20	30377181	30399334	NA
RPL31P2	chr20	33752167	33752543	q
GID8	chr20	62938119	62948475	q
RP3-511B24.5	chr20	41196647	41196938	q
RP5-1121H13.1	chr20	41997131	41999397	q
SEMG1	chr20	45206997	45209772	q
LINC01260	chr20	44656451	44696096	q
GLRXP	chr20	37602852	37603185	q
PIEZO1P2	chr20	58740532	58783821	q
FER1L4	chr20	35558737	35607562	q
OVOL2	chr20	17956979	18059188	p
RNU6ATAC34P	chr20	18611047	18611167	p
RP4-614O4.11	chr20	35267885	35280043	q
RP11-42O4.2	chr20	35174355	35174919	q
ACTL10	chr20	33666498	33668525	q
EIF2S2	chr20	34088298	34112332	q
RP3-477O4.5	chr20	35520852	35528255	q
RNU6-278P	chr20	13973316	13973424	p
RP5-1125A11.6	chr20	33989480	33991818	q
ZNFX1	chr20	49237946	49278426	q
RP5-827L5.1	chr20	61079140	61080179	q
OSER1-AS1	chr20	44210960	44226027	q
PRND	chr20	4721910	4728460	p
RP4-610C12.4	chr20	30278906	30286537	NA
PROCR	chr20	35172073	35177362	q
ATG3P1	chr20	39329014	39329924	q
CTCFL	chr20	57495966	57525652	q
L3MBTL1	chr20	43507680	43550950	q
LINC00266-1	chr20	64290385	64313132	q
FAM209A	chr20	56517187	56526142	q
PIGU	chr20	34560542	34677090	q
RP4-583K8.1	chr20	52451464	52455619	q
RP5-965G21.6	chr20	25284915	25285588	p
AL136090.1	chr20	19125785	19125907	p
RP13-401N8.8	chr20	26071988	26072351	NA
ZNF512B	chr20	63956702	64048758	q
SLC23A2	chr20	4852356	5010293	p
RP5-971N18.3	chr20	8019223	8043512	p
TRERNA1	chr20	50040716	50041504	q
RP4-737E23.2	chr20	23187961	23190307	p
PPP1R16B	chr20	38805705	38923024	q
AC006076.1	chr20	53799823	53801318	q
CTSA	chr20	45890144	45898820	q
RP5-1125A11.4	chr20	34014969	34017749	q
RN7SL690P	chr20	20316755	20316994	p
RP5-1009E24.8	chr20	3808357	3812434	p
ANKEF1	chr20	9986126	10058303	p
CHMP4B	chr20	33811304	33854366	q
RP4-726N1.2	chr20	18059493	18071008	p
RN7SKP173	chr20	38761528	38761842	q
RPS4XP2	chr20	4629427	4630219	p
ADNP	chr20	50888919	50931240	q
RNU1-55P	chr20	5890055	5890212	p
LAMA5	chr20	62307955	62367312	q
R3HDML	chr20	44336986	44351235	q
RP4-564F22.5	chr20	38406011	38416797	q
ZBTB46-AS1	chr20	63808076	63816521	q
SNX21	chr20	45833810	45843275	q
ITCH-IT1	chr20	34450930	34454552	q
PCIF1	chr20	45934628	45948023	q
NSFL1C	chr20	1442162	1473842	p
RP5-1100H13.3	chr20	38614913	38615476	q
BFSP1	chr20	17493905	17569220	p
RP4-545L17.11	chr20	1117847	1118450	p
AL121898.1	chr20	9066834	9066908	p
RALGAPB	chr20	38472816	38578861	q
AL078633.1	chr20	62134680	62135089	q
RP5-984P4.1	chr20	21488244	21488625	p
RP4-591C20.9	chr20	63861212	63864293	q
RP4-813D12.3	chr20	57266797	57282998	q
RP5-1178H5.2	chr20	20214299	20215262	p
RP4-724E16.2	chr20	53552770	53575308	q
PHF20	chr20	35771974	35950381	q
DYNLRB1	chr20	34516409	34540958	q
RP4-610C12.2	chr20	30214798	30214976	NA
RP4-530I15.6	chr20	50645471	50662275	q
ACTR5	chr20	38748442	38772520	q
RP4-760C5.3	chr20	26008791	26010531	NA
RP11-268G13.1	chr20	11685144	11687323	p
RPS3P1	chr20	14003508	14003699	p
SPINT5P	chr20	45749920	45750074	q
RP4-742J24.2	chr20	11909404	11918677	p
RP4-583P15.16	chr20	63730072	63730377	q
ZSWIM3	chr20	45857617	45879122	q
RP11-526K17.2	chr20	24491472	24502345	p
TP53RK	chr20	46684365	46689779	q
VSX1	chr20	25070885	25082365	p
RP11-137F15.1	chr20	3465177	3465444	p
ACTG1P3	chr20	1160584	1161697	p
RP3-468O1.6	chr20	34476205	34476787	q
LINC00657	chr20	36045622	36050960	q
RP1-66N13.4	chr20	48407367	48410716	q
EPB41L1	chr20	36091504	36232799	q
PRPF6	chr20	63981135	64033100	q
DBNDD2	chr20	45406057	45410610	q
RSL24D1P6	chr20	32170390	32170790	q
RP5-839B4.8	chr20	9986088	10007116	p
AL049691.1	chr20	40372814	40372901	q
BCL2L1	chr20	31664452	31723989	q
GNAS-AS1_4	chr20	58850530	58850641	q
PRNP	chr20	4686236	4701590	p
GINS1	chr20	25407727	25452628	p
RP11-93B14.4	chr20	62732566	62735347	q
PTMAP3	chr20	18011955	18012284	p
SPINT4	chr20	45722351	45725830	q
RP5-1056H1.2	chr20	6065966	6067897	p
ZNF877P	chr20	21265854	21266465	p
PLCG1-AS1	chr20	41098329	41138003	q
PPIAP10	chr20	53421199	53421656	q
ACOT8	chr20	45841721	45857406	q
AHCY	chr20	34280268	34311802	q
DZANK1	chr20	18383367	18467281	p
RP5-1085F17.3	chr20	32856621	32858751	q
SSTR4	chr20	23035386	23036812	p
RP1-309K20.6	chr20	35632340	35674544	q
DIDO1	chr20	62877738	62937952	q
RP4-760C5.5	chr20	25955812	25969288	NA
DEFB132	chr20	257736	261096	p
RP5-1069C8.3	chr20	12934877	12935783	p
MIR548O2	chr20	38516537	38516647	q
RPL23AP81	chr20	41196691	41197157	q
LAMA5-AS1	chr20	62352995	62356480	q
RP5-963E22.6	chr20	63218041	63218502	q
DPM1	chr20	50934867	50958555	q
ID1	chr20	31605283	31606515	q
MRPS33P4	chr20	52511252	52511568	q
TGM2	chr20	38127387	38166578	q
C20orf96	chr20	270863	290778	p
RP5-1059L7.1	chr20	57710183	57712780	q
RPS15AP1	chr20	21166206	21166596	p
FAM110A	chr20	833715	857463	p
RP1-209B9.2	chr20	7867327	7867614	p
RN7SKP69	chr20	17576206	17576510	p
RP1-28H20.3	chr20	46689659	46690289	q
RP1-232N11.2	chr20	42685404	42688562	q
RP1-63M2.7	chr20	33655701	33656423	q
CST2P1	chr20	23711320	23711406	p
PLCG1	chr20	41136960	41196787	q
TPD52L2	chr20	63865228	63891545	q
RP5-851M4.1	chr20	23320958	23325352	p
SNPH	chr20	1266316	1309328	p
TGIF2	chr20	36573488	36593950	q
RPS18P1	chr20	5532878	5533335	p
CABLES2	chr20	62388632	62407285	q
ZBP1	chr20	57603846	57620576	q
CST2	chr20	23823769	23826731	p
RP4-697K14.3	chr20	63502287	63505111	q
RP5-1004I9.1	chr20	22400351	22420643	p
EIF4EBP2P1	chr20	43423196	43423538	q
EFCAB8	chr20	32858923	32961609	q
MIR1257	chr20	61953546	61953662	q
RP5-828K20.1	chr20	22272052	22273454	p
RP4-777L9.3	chr20	16580258	16580622	p
RP11-102J14.1	chr20	12305613	12316485	p
MIR3646	chr20	44408120	44408203	q
LINC01440	chr20	55423011	55468214	q
TPX2	chr20	31739271	31801805	q
C20orf202	chr20	1203454	1208274	p
AC011850.2	chr20	29743154	29743268	NA
INSM1	chr20	20368121	20370949	p
RPL12P11	chr20	41547422	41547922	q
E2F1	chr20	33675487	33686404	q
RP4-785G19.2	chr20	34245953	34246537	q
BPIFA4P	chr20	33193585	33210462	q
BPIFB9P	chr20	33347720	33354444	q
SEL1L2	chr20	13849247	13996443	p
RP5-963E22.5	chr20	63127495	63129459	q
RP11-347D21.1	chr20	47950799	47952055	q
DHX35	chr20	38962299	39039723	q
MACROD2	chr20	13995369	16053197	p
LINC01429	chr20	51831797	51862912	q
GGT7	chr20	34844720	34872860	q
TMEM189-UBE2V1	chr20	50081124	50153637	q
LINC00652	chr20	18786065	18794335	p
CST3	chr20	23626706	23638473	p
MIR3193	chr20	31607186	31607240	q
SYS1-DBNDD2	chr20	45363200	45410610	q
KRT18P4	chr20	49956745	49958032	q
RP4-806M20.3	chr20	58833809	58836529	q
RP1-278O22.1	chr20	10753090	10753966	p
RP11-243J16.7	chr20	31686216	31716825	q
RP4-785G19.5	chr20	34234840	34281173	q
KCNB1	chr20	49363877	49482647	q
NKAIN4	chr20	63240784	63272694	q
FOXS1	chr20	31844301	31845619	q
RP4-705O1.1	chr20	39213777	39224748	q
RP4-697K14.15	chr20	63543411	63543738	q
TGM6	chr20	2380908	2432753	p
BPIFB6	chr20	33031648	33044047	q
PPIAP2	chr20	25368275	25368766	p
OCSTAMP	chr20	46540946	46550574	q
TASP1	chr20	13389392	13638940	p
RP4-616B8.4	chr20	38961925	38962111	q
RPL36P2	chr20	50620763	50621077	q
CBFA2T2	chr20	33490075	33650036	q
AAR2	chr20	36236459	36270918	q
RPL19P1	chr20	2780614	2781041	p
RP11-346K17.3	chr20	34688688	34688978	q
MIR6869	chr20	1392900	1392961	p
RP3-481F12.1	chr20	57328546	57328696	q
MACROD2-IT1	chr20	14554384	14636524	p
EPPIN	chr20	45540626	45547752	q
LAMP5-AS1	chr20	9505180	9514998	p
RP5-1099D15.1	chr20	10612861	10614229	p
LINC01522	chr20	47980488	47988744	q
AL118509.1	chr20	16410297	16410391	p
RP11-112L6.2	chr20	50166362	50171742	q
RP11-560A15.6	chr20	57161822	57163775	q
SIRPA	chr20	1894167	1940592	p
DSTN	chr20	17569863	17609919	p
SLA2	chr20	36612318	36646216	q
NPM1P19	chr20	38977711	38978422	q
CST5	chr20	23875935	23879750	p
C20orf166-AS1	chr20	62544343	62551526	q
RP5-1022P6.5	chr20	5533628	5535889	p
GNAS-AS1	chr20	58818919	58850903	q
CST7	chr20	24949230	24959928	p
ISM1-AS1	chr20	13237801	13239674	p
RP11-11M20.2	chr20	62037429	62037956	q
ASIP	chr20	34194569	34269344	q
TNFRSF6B	chr20	63696668	63698684	q
TGM3	chr20	2296001	2341078	p
RP5-906C1.1	chr20	48821688	48849458	q
RP4-669H2.1	chr20	53397661	53412910	q
RBM38	chr20	57391407	57409333	q
ABBA01031664.1	chr20	29454680	29497243	NA
FTLP1	chr20	45975249	45976075	q
NKX2-2	chr20	21511010	21514026	p
AL121893.1	chr20	18545708	18545784	p
MYT1	chr20	64151791	64242253	q
RN7SL615P	chr20	41290280	41290577	q
WI2-8325B5.1	chr20	61369879	61370855	q
SNORA71A	chr20	38427309	38427442	q
C20orf78	chr20	18809728	18830195	p
C20orf197	chr20	60055925	60072953	q
AL035045.1	chr20	17842583	17842728	p
RP3-450M14.1	chr20	41331123	41331660	q
RP5-1002M8.4	chr20	20094401	20095684	p
CCNB1IP1P2	chr20	45567990	45568807	q
RN7SKP33	chr20	46859333	46859672	q
RPL24P2	chr20	21114723	21115197	p
SLX4IP	chr20	10435303	10636829	p
AL117334.1	chr20	3404216	3404285	p
RP11-358N2.2	chr20	32355053	32355734	q
RP5-908M14.9	chr20	62386303	62386970	q
SF3A3P1	chr20	3489529	3491005	p
FAM210B	chr20	56358915	56368663	q
RNU6-1257P	chr20	24974171	24974280	p
EYA2	chr20	46894624	47188844	q
ZNF337	chr20	25674215	25696841	p
RP4-583P15.10	chr20	63744689	63745958	q
PCED1A	chr20	2835314	2841190	p
RP4-781B1.5	chr20	44746642	44747201	q
WFDC6	chr20	45534196	45539495	q
MIR3196	chr20	63238779	63238842	q
AL389883.1	chr20	54376458	54376558	q
LINC00493	chr20	18567347	18569563	p
RP5-1116H23.6	chr20	5045761	5046276	p
RP5-905G11.3	chr20	17887363	17888160	p
RP5-955M13.4	chr20	50999370	51010019	q
NDRG3	chr20	36651766	36746078	q
SNRPB	chr20	2461634	2470853	p
RP11-476I15.6	chr20	64327418	64327972	q
C20orf196	chr20	5750393	5863912	p
RP3-453C12.14	chr20	45345115	45345823	q
EMILIN3	chr20	41359966	41366827	q
RP11-218C14.8	chr20	23631826	23632316	p
RP11-128M1.1	chr20	2207217	2213151	p
RNU6-937P	chr20	35928570	35928675	q
DLGAP4-AS1	chr20	36507702	36573391	q
RP4-734C18.1	chr20	11234170	11301525	p
DEFB123	chr20	31440519	31450257	q
CST11	chr20	23450403	23452857	p
HNRNPA1P3	chr20	45745737	45746287	q
ARF4P2	chr20	62872250	62873076	q
LZTS3	chr20	3162617	3173592	p
RP11-314N13.9	chr20	1320710	1324367	p
C20orf187	chr20	11027760	11029366	p
DEFB116	chr20	31303212	31308585	q
RP4-738P15.6	chr20	25226448	25226735	p
RP4-686C3.7	chr20	2664352	2665874	p
HM13-IT1	chr20	31563166	31564076	q
YWHAB	chr20	44885676	44908532	q
NNAT	chr20	37521215	37523693	q
CRNKL1	chr20	20034368	20056046	p
FAM209B	chr20	56533246	56536520	q
RNU6-347P	chr20	51902291	51902395	q
ARFRP1	chr20	63698642	63708025	q
RP4-775C13.2	chr20	6219199	6219443	p
SLC9A8	chr20	49812713	49892242	q
SDCBP2-AS1	chr20	1325405	1378734	p
RBM39	chr20	35703609	35742312	q
AL121588.1	chr20	39271540	39271615	q
BPIFA3	chr20	33217310	33227758	q
RN7SL672P	chr20	50557682	50557998	q
AL158089.1	chr20	13509635	13509744	p
PPDPF	chr20	63520724	63522206	q
LAMP5	chr20	9514358	9530524	p
RNU6-115P	chr20	15022852	15022958	p
RP3-333B15.5	chr20	23458529	23459459	p
RP4-614O4.13	chr20	35262727	35264187	q
PABPC1L	chr20	44910062	44959035	q
RP5-967N21.2	chr20	5928085	5929318	p
ACSS2	chr20	34872146	34927962	q
STAU1	chr20	49113339	49188367	q
OPRL1	chr20	64080173	64100643	q
C20orf27	chr20	3753508	3768387	p
PPIAP17	chr20	16223750	16224535	p
CRLS1	chr20	6006090	6040053	p
ARPC3P1	chr20	49134480	49135012	q
RPL37P1	chr20	35588324	35588607	q
TMC2	chr20	2536607	2641784	p
MGME1	chr20	17968913	17991122	p
RP11-97N19.2	chr20	19212852	19213477	p
RP5-827A12.2	chr20	51734533	51735067	q
RNU6-1146P	chr20	56667430	56667531	q
RP5-836N17.4	chr20	32116171	32116629	q
PHKBP1	chr20	8097824	8099774	p
AL441988.1	chr20	30402486	30402624	q
RP11-429E11.2	chr20	61738219	61755056	q
LINC01430	chr20	44448777	44450092	q
DSN1	chr20	36751791	36773818	q
AURKA	chr20	56369389	56392337	q
ZNF334	chr20	46499630	46513559	q
RP5-1068E13.7	chr20	18794529	18796067	p
NECAB3	chr20	33657087	33674463	q
MANBAL	chr20	37289638	37317260	q
MYL9	chr20	36541484	36551447	q
CYP24A1	chr20	54153449	54173973	q
SLC25A6P1	chr20	21742303	21743077	p
MIR941-4	chr20	63919868	63919939	q
C20orf166	chr20	62550453	62570764	q
RP13-30A9.1	chr20	62633681	62635504	q
ZSWIM1	chr20	45881227	45885266	q
PTK6	chr20	63528001	63537370	q
RP4-764O22.1	chr20	7069614	7146656	p
CYB5P4	chr20	22885670	22886068	p
RP4-811M8.1	chr20	51098138	51098845	q
RP11-394O2.3	chr20	46364551	46390885	q
FLJ16779	chr20	63253978	63261615	q
POFUT1	chr20	32207880	32238667	q
RP4-738P15.4	chr20	25161167	25162061	p
RP5-1009E24.9	chr20	3811384	3823882	p
TMSB4XP6	chr20	50840615	50840749	q
GMEB2	chr20	63587602	63627041	q
PLCB4	chr20	9068763	9481242	p
SNAP25	chr20	10218830	10307418	p
TMEM74B	chr20	1180561	1185415	p
RP4-564O4.1	chr20	24297585	24318086	p
GHRH	chr20	37251082	37261835	q
RNA5-8SP7	chr20	5346006	5346160	p
RPL36P4	chr20	35544430	35544747	q
OGFR-AS1	chr20	62800627	62805587	q
CST1	chr20	23747553	23751268	p
RPS3P2	chr20	38537758	38538458	q
DEFB122	chr20	31421436	31429180	q
RP4-705D16.4	chr20	16720016	16729880	p
CST4	chr20	23685640	23689040	p
RP5-1096J16.1	chr20	20258407	20267809	p
RNF11B	chr20	14547184	14547623	p
LINC01433	chr20	4193065	4195943	p
AL138807.1	chr20	51717854	51717962	q
RP5-862K6.4	chr20	43388642	43389041	q
EPPIN-WFDC6	chr20	45536986	45547426	q
FERMT1	chr20	6074845	6123544	p
RP4-616B8.5	chr20	38955910	38956547	q
RP4-550H1.7	chr20	36064243	36064563	q
ABHD16B	chr20	63861213	63863306	q
DEFB125	chr20	87250	97094	p
RP5-828H9.4	chr20	5407564	5407876	p
RP5-984P4.4	chr20	21530202	21530744	p
RTEL1	chr20	63657810	63696253	q
EIF6	chr20	35278907	35284985	q
ANGPT4	chr20	869899	916317	p
RP5-965G21.5	chr20	25251008	25251304	p
ABBA01014710.1	chr20	28577338	28577476	NA
XXyac-YX60D10.1	chr20	23798141	23805663	p
RP11-15M15.1	chr20	53168643	53179550	q
TGIF2-C20orf24	chr20	36574553	36612384	q
PKIG	chr20	44531785	44624247	q
LINC01272	chr20	50267486	50279795	q
MRPS16P2	chr20	59113224	59113631	q
ABBA01031674.1	chr20	29880384	29880463	NA
RPRD1B	chr20	38033546	38127780	q
HCK	chr20	32052188	32101856	q
RNA5SP474	chr20	5098387	5098476	p
PSMD10P1	chr20	50913731	50914411	q
PI3	chr20	45174876	45176544	q
LINC01056	chr20	63038011	63053863	q
PSMF1	chr20	1113263	1189415	p
MMP24	chr20	35226654	35277000	q
CFAP61	chr20	20052514	20360702	p
FAM182A	chr20	26054655	26086917	NA
NKX2-4	chr20	21395367	21398028	p
OSBPL2	chr20	62231922	62296213	q
RP13-379O24.2	chr20	62513909	62516096	q
SIRPG-AS1	chr20	1633508	1648472	p
ITCH	chr20	34363235	34511393	q
RP11-189G24.2	chr20	22960534	22966063	p
RP11-97N19.3	chr20	19000709	19056796	p
RP11-119B16.2	chr20	3888239	3888868	p
SNORD12C	chr20	49278940	49279028	q
RP11-157E14.1	chr20	12950338	12951627	p
RNU7-173P	chr20	47826969	47827044	q
CICP4	chr20	64290187	64292998	q
RP4-800J21.3	chr20	57384160	57393062	q
RP13-379L11.4	chr20	58003904	58004648	q
MAP1LC3A	chr20	34546854	34560345	q
UQCC1	chr20	35302566	35412141	q
TTI1	chr20	37983007	38033468	q
RP5-1184F4.5	chr20	32449755	32453607	q
RP4-738P15.1	chr20	25140789	25149258	p
ZFP64	chr20	52051663	52204308	q
FITM2	chr20	44302838	44311169	q
SLMO2	chr20	59033145	59042909	q
BPIFB4	chr20	33079644	33111751	q
RP4-568F9.6	chr20	18322552	18359300	p
RP5-1184F4.7	chr20	32509959	32520285	q
RP11-49G10.3	chr20	33214920	33217067	q
PAX1	chr20	21705659	21718486	p
DUSP15	chr20	31847637	31870747	q
ADNP-AS1	chr20	50930984	50945134	q
AL360078.1	chr20	173229	173296	p
C20orf144	chr20	33662284	33665619	q
FAM83D	chr20	38926312	38953106	q
KCNK15-AS1	chr20	44694892	44746021	q
PA2G4P2	chr20	12380056	12381255	p
ADA	chr20	44619522	44652233	q
NELFCD	chr20	58981208	58995133	q
DEFB121	chr20	31404845	31412838	q
ZHX3	chr20	41178448	41317672	q
CTD-3216D2.5	chr20	34281632	34286466	q
FAM83C-AS1	chr20	35285251	35285756	q
RALY	chr20	33993646	34108308	q
RP11-93B14.10	chr20	62651272	62652186	q
CHRNA4	chr20	63343310	63378401	q
SERINC3	chr20	44496221	44522109	q
AC104301.1	chr20	30842322	30842404	q
AP5S1	chr20	3820524	3828837	p
CSTP1	chr20	23918771	23922169	p
RP5-986I17.2	chr20	9575608	9577689	p
NCOA6	chr20	34696918	34825649	q
RP3-461P17.10	chr20	45445431	45448580	q
CD93	chr20	23079349	23086340	p
GNRH2	chr20	3043622	3045747	p
HRH3	chr20	62214970	62220267	q
RNU6-147P	chr20	49972106	49972212	q
RP11-416N4.1	chr20	10180235	10185775	p
MATN4	chr20	45293445	45308529	q
MKRN7P	chr20	46463902	46465124	q
RP5-1121H13.4	chr20	41991140	42063969	q
LINC01524	chr20	52210645	52650431	q
RNU6-228P	chr20	14352320	14352425	p
RP13-401N8.6	chr20	25783553	25783919	NA
RAB22A	chr20	58309696	58367507	q
PIGPP3	chr20	33965162	33965576	q
RP5-1065O2.4	chr20	21610787	21703585	p
RNU1-131P	chr20	17209060	17209220	p
JPH2	chr20	44111695	44187578	q
PAK7	chr20	9537389	9839041	p
AIMP1P1	chr20	14127400	14128336	p
KIZ-AS1	chr20	21154023	21218289	p
RP4-591C20.10	chr20	63953384	63956985	q
RNU6-743P	chr20	43405473	43405578	q
RPS2P7	chr20	45640486	45641370	q
PLTP	chr20	45898621	45912155	q
B4GALT5	chr20	49632945	49713878	q
ESF1	chr20	13714322	13784886	p
PPP4R1L	chr20	58228940	58309439	q
RNU7-144P	chr20	48494234	48494309	q
MCTS2P	chr20	31547504	31548049	q
SRC	chr20	37344685	37406050	q
RN7SL561P	chr20	1666360	1666640	p
STK4-AS1	chr20	44963794	44966402	q
WFDC2	chr20	45469706	45481532	q
RP5-1022P6.7	chr20	5499116	5502881	p
RP5-1030M6.3	chr20	43894720	43895468	q
MIR644A	chr20	34466325	34466418	q
RP1-278O22.2	chr20	10753278	10765286	p
AL121911.1	chr20	6614436	6614554	p
ZBTB46	chr20	63743666	63831244	q
RPL7P2	chr20	2075555	2075822	p
ZMYND8	chr20	47209214	47356889	q
RNA5SP484	chr20	40854119	40854229	q
RP1-269M15.3	chr20	43190101	43202599	q
RP4-585I14.3	chr20	13368291	13368703	p
LINC00654	chr20	5496067	5504613	p
GFRA4	chr20	3659292	3663399	p
RP5-908M14.10	chr20	62402236	62405935	q
GZF1	chr20	23362182	23373063	p
RP4-610C12.1	chr20	30323812	30361730	NA
SYS1	chr20	45361937	45376798	q
HIGD1AP15	chr20	10334419	10334698	p
ADRA1D	chr20	4220631	4249074	p
RNU4ATAC7P	chr20	54859688	54859812	q
RP13-379L11.2	chr20	57957126	57959660	q
PCMTD2	chr20	64255695	64287821	q
MIR8062	chr20	7371608	7371692	p
RP5-872K7.7	chr20	21148741	21162890	p
RBM12	chr20	35648925	35664956	q
RP4-694B14.8	chr20	25680781	25681246	p
ACSS1	chr20	25006230	25058980	p
COL20A1	chr20	63293186	63334851	q
RP5-907D15.4	chr20	58634772	58635738	q
RNU6-759P	chr20	35647328	35647430	q
UBOX5-AS1	chr20	3106913	3150867	p
RP4-796I8.1	chr20	12243895	12244296	p
RP5-1041C10.3	chr20	49829125	49831085	q
SNORA71C	chr20	38429670	38429803	q
BMP2	chr20	6767664	6780280	p
ZNF663P	chr20	46414228	46459276	q
RP11-470C13.4	chr20	20363691	20365657	p
MIR663A	chr20	26208186	26208278	NA
PPIAP3	chr20	37530039	37530543	q
RP5-1049G16.4	chr20	47630266	47631438	q
RP5-1013A22.5	chr20	44434197	44434596	q
NFATC2	chr20	51386957	51562831	q
RP1-167O22.1	chr20	21569976	21619674	p
SRMP1	chr20	47859788	47860672	q
AL031653.1	chr20	7696886	7696977	p
BPIFA1	chr20	33235995	33243311	q
RP4-673D20.6	chr20	1756756	1758940	p
RP4-715N11.2	chr20	52671917	52690929	q
CEBPB-AS1	chr20	50184598	50191498	q
ERP29P1	chr20	52110344	52111049	q
MIR1914	chr20	63941465	63941544	q
MAFB	chr20	40685848	40689240	q
STX16	chr20	58651253	58679526	q
RP1-122P22.4	chr20	19756390	19758037	p
OTOR	chr20	16748358	16770062	p
MTND1P9	chr20	57357426	57358369	q
ANKRD60	chr20	58218495	58228653	q
RPL5P2	chr20	45490818	45491671	q
SIGLEC1	chr20	3686970	3707128	p
RP5-963E22.4	chr20	63166797	63180903	q
RN7SL498P	chr20	6001733	6002030	p
MIR1289-1	chr20	35453954	35454097	q
PGAM3P	chr20	11621051	11621477	p
DNTTIP1	chr20	45791937	45811427	q
RP1-310O13.13	chr20	31970181	31970831	q
HDHD1P3	chr20	33047517	33048152	q
TAF4	chr20	61953469	62065810	q
RPL41P1	chr20	21755270	21755350	p
AL118506.2	chr20	63919393	63919464	q
AL034553.1	chr20	50938646	50938732	q
AVP	chr20	3082556	3084724	p
NTSR1	chr20	62708837	62762771	q
MIR4325	chr20	57321502	57321591	q
RNA5SP482	chr20	32050588	32050705	q
RP4-705D16.3	chr20	16714844	16730948	p
SNORA71E	chr20	38448084	38448215	q
RP11-410N8.3	chr20	32561093	32573888	q
PDYN	chr20	1978757	1994285	p
RP5-1116H23.5	chr20	5049857	5050321	p
CTD-2308N23.2	chr20	38288331	38326536	q
SNX5	chr20	17941597	17968980	p
AL079339.1	chr20	51377235	51377321	q
AL354984.1	chr20	57918884	57919035	q
DOK5	chr20	54475597	54651171	q
ISM1	chr20	13221771	13300651	p
RP5-1069C8.2	chr20	12865202	12952519	p
STK4	chr20	44966474	45079959	q
UCKL1	chr20	63939829	63956415	q
LINC01431	chr20	23356594	23358116	p
TBC1D20	chr20	435480	462553	p
RP11-218C14.2	chr20	23583645	23586510	p
DNAJC5	chr20	63895182	63936031	q
RP11-429E11.3	chr20	61717506	61719748	q
RP1-309F20.3	chr20	58863528	58888809	q
GAPDHP53	chr20	24445391	24446314	p
CST13P	chr20	23519146	23542018	p
TP53TG5	chr20	45372563	45407889	q
C20orf85	chr20	58150904	58161150	q
RP5-850E9.3	chr20	646626	675800	p
SAMD10	chr20	63974113	63980008	q
RP11-218C14.5	chr20	23655225	23656390	p
GDF5	chr20	35433347	35454746	q
POLR3F	chr20	18467127	18484643	p
AL118520.1	chr20	34654122	34654214	q
DEFB115	chr20	31257664	31259632	q
SNTA1	chr20	33407955	33443892	q
ABHD12	chr20	25294743	25390983	p
ZNF341	chr20	33731657	33792269	q
SNORD57	chr20	2656939	2657010	p
RPL31P3	chr20	31311303	31311962	q
PTPRA	chr20	2864184	3039076	p
RP13-329D4.3	chr20	26132887	26134198	NA
RP4-614O4.12	chr20	35201747	35203288	q
CSE1L-AS1	chr20	49040463	49046044	q
RN7SL237P	chr20	38098414	38098700	q
KIF16B	chr20	16272104	16573433	p
COX7BP2	chr20	35850674	35850915	q
RP5-836E8.1	chr20	7831798	7832322	p
CDS2	chr20	5126786	5197887	p
AC104301.2	chr20	30901749	30901821	q
GDF5OS	chr20	35433029	35435450	q
SNRPB2	chr20	16729961	16742563	p
GCNT1P1	chr20	18420160	18421454	p
HNF4A-AS1	chr20	44372746	44395706	q
GNAS-AS1_2	chr20	58842433	58842546	q
RP5-1085F17.4	chr20	32843128	32854257	q
RP4-621N11.2	chr20	37095785	37097178	q
RPL7P3	chr20	62572671	62573384	q
BMP7	chr20	57168748	57266629	q
TARDBPP1	chr20	6200989	6202191	p
